panel_gene,ensg,alpha_0.01,alpha_0.20,robust_count
HERC2P8,ENSG00000261599.6,Y,Y,2
ANGPT2,ENSG00000091879.13,Y,,1
SMG1P5,ENSG00000183604.14,,Y,1
RPL21P75,ENSG00000213860.4,,Y,1
FCN3,ENSG00000142748.12,,Y,1
RPL15P11,ENSG00000223718.3,,Y,1
HEXB,ENSG00000049860.14,,Y,1
LOC112268270,ENSG00000226308.1,,Y,1
NR4A1,ENSG00000123358.20,,Y,1
MAP3K2-DT,ENSG00000236682.1,,,0
PROS1,ENSG00000184500.15,,,0
SERTAD1,ENSG00000197019.5,,,0
MECOM,ENSG00000085276.18,,,0
CKMT2,ENSG00000131730.16,,,0
EMP1,ENSG00000134531.10,,,0
TINAGL1,ENSG00000142910.16,,,0
SNORD97,ENSG00000238622.1,,,0
CLDN5,ENSG00000184113.9,,,0
VWF,ENSG00000110799.13,,,0
ENSG00000280893,ENSG00000280893.1,,,0
SOHLH2,ENSG00000120669.16,,,0
RHOT1P2,ENSG00000203616.2,,,0
ENSG00000279656,ENSG00000279656.1,,,0
MCEE,ENSG00000124370.11,,,0
SLC37A2,ENSG00000134955.11,,,0
