rank,feature,symbol,mean_abs_shap,loo_delta_auc
1,ENSG00000085276.18,MECOM,0.5511075131646445,0.0011
2,ENSG00000261599.6,HERC2P8,0.5287764686567472,0.0006
3,ENSG00000183604.14,SMG1P5,0.5111006032657813,0.0008
4,ENSG00000197019.5,SERTAD1,0.4029158058371479,0.0038
5,ENSG00000213860.4,RPL21P75,0.3698625795471374,0.0018
6,ENSG00000142748.12,FCN3,0.3075858176690467,0.002
7,ENSG00000184500.15,PROS1,0.2938826099188049,0.0004
8,ENSG00000091879.13,ANGPT2,0.2926167526370337,0.0012
9,ENSG00000236682.1,MAP3K2-DT,0.2897163340582234,-0.0002
10,ENSG00000134531.10,EMP1,0.2836625992119038,0.002
11,ENSG00000238622.1,SNORD97,0.2599351019600274,-0.001
12,ENSG00000142910.16,TINAGL1,0.2574209323971427,0.0021
13,ENSG00000131730.16,CKMT2,0.2499366344527574,0.0029
14,ENSG00000280893.1,ENSG00000280893,0.2477894030944094,-0.0001
15,ENSG00000110799.13,VWF,0.2433991147723579,-0.0024
16,ENSG00000184113.9,CLDN5,0.2273709568499143,0.0032
17,ENSG00000123358.20,NR4A1,0.2272845904991423,0.0005
18,ENSG00000223718.3,RPL15P11,0.2232604080000958,-0.0007
19,ENSG00000120669.16,SOHLH2,0.2215227866788024,-0.0018
20,ENSG00000203616.2,RHOT1P2,0.221075413001214,-0.0005
21,ENSG00000049860.14,HEXB,0.2168350911359472,0.0002
22,ENSG00000279656.1,ENSG00000279656,0.2115814621712366,-0.0002
23,ENSG00000226308.1,LOC112268270,0.2113379911232892,0.0063
24,ENSG00000124370.11,MCEE,0.2063719547096127,0.0008
25,ENSG00000134955.11,SLC37A2,0.204290214807479,0.0012
